Number Correct : 48352
Number Total : 56824
Percent : 85.09080670139377
Confusion matrix:
Predicted  #    $   ''   (   )     ,     .    :    CC    CD    DT  EX    IN    JJ  JJR  JJS   MD    NN   NNP  NNPS   NNS  POS   PRP  PRP$    RB  RBR    TO    VB   VBD  VBG  VBN  VBP   VBZ  WDT   WP  WP$  WRB   ``
NNS        0    0    0   0   0     0     0    0     0     6     0   0     0    15    0    0    0   729    10     7  2693    0     0     0     1    0     0     0     0    0    0    0    52    0    0    0    0    0
PDT        0    0    0   0   0     0     0    0     0     0    14   0     0     4    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
POS        0    0    2   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0  489     0     0     0    0     0     0     0    0    0    0    60    0    0    0    0    0
PRP        0    0    0   0   0     0     0    0     0     4     0   0     0     0    0    0    0     2     0     0     0    0  1045     5     0    0     0     0     0    0    0    0     0    0    0    0    0    0
PRP$       0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     3     0     0     0    0    12   495     0    0     0     0     0    0    0    0     0    0    0    0    0    0
RB         0    0    0   0   0     0     0    0     3     0    14   2   273    82    0    2    0   175     1     0     0    0     0     0  1495    0     0     3     0    0    0    0     0    0    0    0    0    0
RBR        0    0    0   0   0     0     0    0     0     0     0   0     0     6   63    0    0     2     0     0     0    0     0     0    23   18     0     0     0    0    0    0     0    0    0    0    0    0
RBS        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0   30    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
RP         0    0    0   0   0     0     0    0     0     0     0   0   158     1    0    0    0     4     0     0     0    0     0     0    14    0     0     0     0    0    0    0     0    0    0    0    0    0
SYM        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     1     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0    0
TO         0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0  1245     0     0    0    0    0     0    0    0    0    0    0
UH         0    0    0   0   0     0     0    0     0     0     1   0     0     0    0    0    0     4     0     0     0    0     0     0     3    0     0     0     0    0    0    0     0    0    0    0    0    0
VB         0    0    0   0   0     0     0    0     0     0     0   0     0    12    1    0    0   317     0     0     0    0     0     0     1    0     0  1190     3    0    4   61     0    0    0    0    0    0
VBD        0    0    0   0   0     0     0    0     0     0     0   0     0     3    0    0    0   145     0     0     0    0     0     0     0    0     0     2  1537    0  149    1     0    0    0    0    0    0
VBG        0    0    0   0   0     0     0    0     0     0     0   0     0    10    0    0    0   303     0     0     0    0     0     0     0    0     0     0     0  505    0    0     0    0    0    0    0    0
VBN        0    0    0   0   0     0     0    0     0     0     0   0     0    16    0    0    0   205     0     0     0    0     0     0     0    0     0     5   151    0  723    0     0    0    0    0    0    0
VBP        0    0    0   0   0     0     0    0     0     0     0   0     3     4    0    0    0   122     1     0     0    0     0     0     0    0     0    75     0    0    6  591     0    0    0    0    0    0
VBZ        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0   100     0     0    39   12     0     0     0    0     0     0     0    0    0    0  1085    0    0    0    0    0
WDT        0    0    0   0   0     0     0    0     0     0     2   0   136     0    0    0    0     2     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0  139    1    0    0    0
WP         0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0  111    0    0    0
WP$        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0   21    0    0
WRB        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     1     0     0     0    0     0     0     1    0     0     0     0    0    0    0     0    0    0    0  131    0
``         0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0     0     0     0    0    0    0     0    0    0    0    0  535
